,buy1,last,ma10min,ma5min,sell1
99,386.8,386.8,385.65000000000003,387.02,386.81
100,386.8,386.8,385.65000000000003,387.02,386.81
101,386.8,386.8,385.65000000000003,387.02,386.81
102,386.8,386.8,385.65000000000003,387.02,386.81
103,386.8,386.8,385.65000000000003,387.02,386.99
104,386.9,386.8,385.65000000000003,387.02,386.99
105,386.9,386.9,385.65000000000003,387.02,386.99
106,386.8,386.8,385.65000000000003,387.02,386.99
107,386.66,387.0,385.65000000000003,387.02,387
108,386.7,387.0,385.65000000000003,387.02,387
109,386.7,387.0,385.65000000000003,387.02,387
110,386.7,387.0,386.01000000000005,387.322,387
111,386.7,387.0,386.01000000000005,387.322,387
112,386.7,386.99,386.01000000000005,387.322,386.99
113,386.7,387.0,386.01000000000005,387.322,387
114,386.66,386.7,386.01000000000005,387.322,386.7
115,386.66,386.7,386.01000000000005,387.322,387
116,386.5,386.52,386.01000000000005,387.322,387
117,386.5,386.52,386.01000000000005,387.322,386.6
118,386.5,386.6,386.01000000000005,387.322,386.6
119,386.5,386.6,386.01000000000005,387.322,386.6
120,386.53,386.6,386.01000000000005,387.322,386.99
121,386.6,386.6,386.01000000000005,387.322,386.99
122,386.99,386.99,386.01000000000005,387.322,387
123,386.52,386.5,386.01000000000005,387.322,387
124,386.6,387.0,386.01000000000005,387.322,386.98
125,386.6,386.98,386.01000000000005,387.322,386.98
126,386.6,386.98,386.21000000000004,387.36,386.98
127,386.6,386.98,386.21000000000004,387.36,386.97
128,386.63,387.0,386.21000000000004,387.36,387
129,386.63,387.0,386.21000000000004,387.36,386.9
130,386.64,386.9,386.21000000000004,387.36,386.9
131,386.61,386.61,386.21000000000004,387.36,386.9
132,387.02,387.0,386.21000000000004,387.36,387.9
133,387.11,387.0,386.21000000000004,387.36,387.9
134,387.11,387.0,386.21000000000004,387.36,388.18
135,387,388.98,386.21000000000004,387.36,388.96
136,387.11,387.0,386.21000000000004,387.36,388.92
137,387.1,387.0,386.21000000000004,387.36,388.86
138,387.2,387.0,386.21000000000004,387.36,388.8
139,387.2,387.0,386.21000000000004,387.36,388.75
140,387.21,387.0,386.21000000000004,387.36,388.7
141,387.22,387.0,386.508,386.96,388.98
142,387.24,387.0,386.508,386.96,388.57
143,388,388.53,386.508,386.96,388.89
144,388,388.53,386.508,386.96,388.82
145,388,388.53,386.508,386.96,388.96
146,388,388.53,386.508,386.96,388.96
147,388.7,388.53,386.508,386.96,388.96
148,388,388.7,386.508,386.96,388.69
149,388.69,388.7,386.508,386.96,388.96
150,388.7,388.7,386.508,386.96,388.96
151,388.7,388.96,386.508,386.96,388.96
152,388.69,388.98,386.508,386.96,388.98
153,388.69,388.98,386.508,386.96,388.98
154,388.69,388.98,386.508,386.96,388.98
155,388.98,388.98,386.508,386.96,389.1
156,389.1,389.1,386.95799999999997,387.356,389.98
157,389.12,389.12,386.95799999999997,387.356,389.37
158,388.5,388.98,386.95799999999997,387.356,388.98
159,388.52,389.0,386.95799999999997,387.356,389
160,388,388.0,386.95799999999997,387.356,388.98
161,388.02,389.98,386.95799999999997,387.356,389.11
162,389.02,389.98,386.95799999999997,387.356,389.31
163,389,389.0,386.95799999999997,387.356,389.32
164,389,389.02,386.95799999999997,387.356,389.31
165,389,389.0,386.95799999999997,387.356,389.02
166,388.04,389.0,386.95799999999997,387.356,389.33
167,388.05,388.04,386.95799999999997,387.356,389.28
168,388.05,388.04,386.95799999999997,387.356,389.23
169,388.05,388.04,386.95799999999997,387.356,389.14
170,388.02,389.12,386.95799999999997,387.356,389.12
171,388.02,389.12,387.41999999999996,387.82,389.3
172,388.07,389.12,387.41999999999996,387.82,389.12
173,388.07,389.12,387.41999999999996,387.82,389.12
174,388.07,389.27,387.41999999999996,387.82,389.25
175,389.2,389.27,387.41999999999996,387.82,389.3
176,388.1,389.3,387.41999999999996,387.82,389.18
177,388.16,389.3,387.41999999999996,387.82,389.16
178,388.16,388.14,387.41999999999996,387.82,388.98
179,389,389.0,387.41999999999996,387.82,389.11
180,389,389.0,387.41999999999996,387.82,389.18
181,388.13,389.0,387.41999999999996,387.82,389
182,388.13,389.0,387.41999999999996,387.82,388.98
183,388.13,389.0,387.41999999999996,387.82,389
184,388.13,388.98,387.41999999999996,387.82,388.97
185,388.21,388.16,387.41999999999996,387.82,388.86
186,388.22,388.16,387.68699999999995,388.052,388.88
187,388.9,388.9,387.68699999999995,388.052,388.99
188,388.27,388.9,387.68699999999995,388.052,388.9
189,388.33,388.9,387.68699999999995,388.052,388.9
190,388.43,388.9,387.68699999999995,388.052,388.91
191,388.25,388.22,387.68699999999995,388.052,388.95
192,388.27,388.98,387.68699999999995,388.052,388.91
193,388.27,388.98,387.68699999999995,388.052,388.96
194,388.92,388.92,387.68699999999995,388.052,388.97
195,388.92,388.92,387.68699999999995,388.052,388.97
196,388.92,388.92,387.68699999999995,388.052,388.98
197,388.35,388.92,387.68699999999995,388.052,388.97
198,388.4,388.92,387.68699999999995,388.052,388.99
199,388.46,388.99,387.68699999999995,388.052,388.95
200,388.32,388.99,387.68699999999995,388.052,388.92
201,388.4,388.99,387.68699999999995,388.052,388.89
202,388.45,389.0,387.90500000000003,388.45,388.87
203,388.32,389.0,387.90500000000003,388.45,388.85
204,388.32,389.0,387.90500000000003,388.45,388.82
205,388.35,389.0,387.90500000000003,388.45,388.79
206,388.35,388.35,387.90500000000003,388.45,388.75
